value,label
0,0
4,0
112,0
18,0
32,0
22,0
108,0
8,0
16,0
38,0
106,0
16,0
22,0
110,0
12,0
30,0
34,0
112,0
10,0
12,0
104,0
8,0
2,0
6,0
118,0
14,0
14,0
60,0
40,0
16,0
28,0
108,0
24,0
26,0
130,0
30,0
36,0
18,0
74,0
10,0
6,0
14,0
26,0
8,0
2,0
102,0
2,0
4,0
14,0
14,0
22,0
10,0
122,0
12,0
18,0
18,0
118,0
18,0
34,0
24,0
54,0
16,0
22,0
60,0
86,0
12,0
8,0
104,0
2,0
10,0
42,0
12,0
18,0
14,0
120,0
40,0
16,0
28,0
118,0
26,0
14,0
16,0
116,0
40,0
28,0
22,0
108,0
34,0
24,0
48,0
10,0
14,0
26,0
46,0
12,0
10,0
106,0
22,0
18,0
30,0
46,0
18,0
14,0
20,0
122,0
14,0
36,0
22,0
110,0
22,0
20,0
28,0
52,0
14,0
14,0
62,0
2,0
10,0
0,0
96,0
10,0
4,0
92,0
30,0
20,0
28,0
110,0
18,0
26,0
20,0
96,0
60,0
14,0
14,0
52,0
20,0
28,0
18,0
102,0
12,0
6,0
34,0
72,0
2,0
6,0
104,0
28,0
42,0
40,0
38,0
90,0
16,0
122,0
24,0
36,0
28,0
58,0
64,0
16,0
10,0
10,0
106,0
10,0
64,0
38,0
4,0
12,0
30,0
10,0
0,0
12,0
130,0
26,0
18,0
102,0
32,0
12,0
38,0
58,0
32,0
18,0
30,0
104,0
10,0
12,0
34,0
6,0
14,0
4,0
100,0
2,0
6,0
4,0
6,0
10,0
40,0
110,0
34,0
14,0
20,0
112,0
6,0
28,0
26,0
112,0
22,0
20,0
84,0
70,0
18,0
24,0
106,0
4,0
26,0
92,0
30,0
6,0
4,0
122,0
2,0
16,0
26,0
128,0
24,0
18,0
24,0
122,0
24,0
30,0
30,0
116,0
24,0
16,0
4,0
30,0
2,0
8,0
16,0
2,0
4,0
10,0
32,0
10,0
16,0
12,0
114,0
20,0
12,0
16,0
114,0
6,0
16,0
20,0
108,0
22,0
18,0
26,0
32,0
0,0
6,0
4,0
94,0
0,0
2,0
98,0
10,0
6,0
8,0
14,0
32,0
16,0
14,0
26,0
8,0
22,0
36,0
182,0
42,0
18,0
12,0
116,0
14,0
12,0
4,0
98,0
6,0
6,0
6,0
106,0
22,0
18,0
14,0
118,0
28,0
26,0
24,0
128,0
36,0
28,0
30,0
118,0
20,0
32,0
14,0
36,0
10,0
16,0
4,0
102,0
10,0
8,0
6,0
102,0
14,0
14,0
8,0
64,0
24,0
34,0
34,0
126,0
18,0
14,0
24,0
114,0
28,0
38,0
30,0
94,0
32,0
6,0
8,0
104,0
6,0
4,0
0,0
110,0
8,0
34,0
18,0
114,0
16,0
28,0
66,0
136,0
40,0
38,0
10,0
106,0
18,0
18,0
58,0
22,0
6,0
0,0
108,0
2,0
2,0
2,0
100,0
4,0
10,0
4,0
32,0
14,0
12,0
48,0
146,0
40,0
20,0
20,0
138,0
18,0
24,0
44,0
90,0
14,0
6,0
18,0
112,0
2,0
0,0
2,0
104,0
4,0
6,0
2,0
24,0
14,0
12,0
18,0
112,0
24,0
28,0
10,0
120,0
8,0
18,0
10,0
110,0
10,0
8,0
0,0
66,0
4,0
2,0
6,0
106,0
2,0
30,0
4,0
30,0
6,0
10,0
24,0
48,0
38,0
16,0
14,0
56,0
24,0
18,0
34,0
108,0
22,0
6,0
8,0
40,0
2,0
2,0
10,0
56,0
12,0
10,0
16,0
46,0
12,0
18,0
24,0
20,0
28,0
26,0
26,0
130,0
16,0
16,0
22,0
110,0
22,0
22,0
6,0
110,0
4,0
6,0
6,0
102,0
2,0
12,0
18,0
102,0
16,0
22,0
30,0
132,0
20,0
20,0
22,0
132,0
28,0
32,0
24,0
36,0
14,0
12,0
8,0
46,0
0,0
4,0
4,0
102,0
10,0
10,0
18,0
44,0
14,0
12,0
14,0
24,0
24,0
38,0
30,0
112,0
22,0
34,0
24,0
122,0
12,0
10,0
16,0
50,0
0,0
0,0
4,0
102,0
10,0
2,0
10,0
38,0
20,0
6,0
8,0
130,0
24,0
18,0
16,0
118,0
14,0
4,0
12,0
104,0
32,0
24,0
2,0
112,0
10,0
8,0
100,0
6,0
8,0
10,0
40,0
18,0
14,0
18,0
106,0
18,0
26,0
28,0
88,0
24,0
24,0
6,0
116,0
22,0
10,0
4,0
108,0
4,0
6,0
10,0
36,0
4,0
6,0
10,0
118,0
10,0
12,0
12,0
112,0
26,0
30,0
44,0
52,0
22,0
24,0
12,0
128,0
60,0
22,0
16,0
50,0
8,0
6,0
2,0
78,0
10,0
4,0
16,0
110,0
14,0
24,0
10,0
42,0
16,0
10,0
20,0
126,0
18,0
24,0
36,0
120,0
22,0
18,0
24,0
100,0
4,0
4,0
4,0
34,0
0,0
2,0
2,0
106,0
4,0
22,0
38,0
14,0
30,0
24,0
18,0
66,0
84,0
38,0
16,0
18,0
112,0
8,0
8,0
14,0
54,0
6,0
4,0
30,0
30,0
10,0
8,0
48,0
18,0
12,0
18,0
18,0
18,0
14,0
18,0
24,0
124,0
32,0
44,0
30,0
108,0
24,0
4,0
12,0
98,0
4,0
0,0
14,0
98,0
16,0
14,0
24,0
122,0
28,0
10,0
6,0
108,0
20,0
12,0
20,0
72,0
80,0
24,0
16,0
20,0
118,0
16,0
12,0
38,0
14,0
2,0
4,0
100,0
6,0
6,0
4,0
30,0
2,0
14,0
18,0
18,0
2,0
6,0
18,0
108,0
10,0
12,0
16,0
104,0
18,0
14,0
16,0
14,0
8,0
4,0
10,0
2,0
6,0
10,0
14,0
54,0
28,0
14,0
10,0
114,0
14,0
20,0
30,0
120,0
22,0
14,0
24,0
126,0
12,0
6,0
10,0
26,0
2,0
8,0
12,0
74,0
14,0
16,0
20,0
50,0
22,0
10,0
30,0
34,0
18,0
18,0
14,0
114,0
10,0
8,0
10,0
92,0
32,0
10,0
16,0
48,0
6,0
10,0
6,0
62,0
12,0
8,0
18,0
34,0
16,0
18,0
16,0
14,0
12,0
10,0
8,0
26,0
10,0
16,0
24,0
74,0
80,0
16,0
12,0
78,0
34,0
0,0
6,0
38,0
2,0
16,0
16,0
18,0
26,0
14,0
20,0
46,0
112,0
26,0
26,0
40,0
114,0
26,0
14,0
30,0
110,0
34,0
6,0
8,0
90,0
10,0
2,0
22,0
56,0
4,0
16,0
14,0
44,0
14,0
14,0
26,0
34,0
26,0
14,0
8,0
26,0
14,0
14,0
22,0
30,0
94,0
4,0
10,0
10,0
98,0
8,0
20,0
26,0
30,0
18,0
24,0
24,0
32,0
26,0
48,0
14,0
122,0
22,0
14,0
28,0
32,0
84,0
12,0
4,0
6,0
110,0
10,0
10,0
12,0
78,0
4,0
12,0
12,0
106,0
16,0
24,0
20,0
14,0
48,0
12,0
24,0
28,0
32,0
16,0
6,0
108,0
28,0
20,0
4,0
104,0
2,0
10,0
14,0
112,0
12,0
10,0
16,0
112,0
16,0
18,0
8,0
18,0
16,0
22,0
28,0
114,0
34,0
18,0
24,0
128,0
38,0
22,0
18,0
108,0
8,0
6,0
16,0
104,0
26,0
16,0
8,0
72,0
14,0
12,0
26,0
112,0
10,0
10,0
32,0
64,0
96,0
18,0
10,0
14,0
114,0
6,0
8,0
2,0
102,0
38,0
8,0
10,0
110,0
4,0
8,0
28,0
112,0
14,0
18,0
14,0
98,0
28,0
22,0
20,0
34,0
100,0
32,0
10,0
26,0
138,0
10,0
2,0
8,0
104,0
2,0
10,0
10,0
110,0
12,0
16,0
10,0
82,0
40,0
24,0
22,0
18,0
24,0
10,0
26,0
32,0
16,0
44,0
16,0
14,0
24,0
38,0
12,0
6,0
6,0
8,0
108,0
14,0
14,0
24,0
6,0
112,0
30,0
28,0
12,0
26,0
14,0
28,0
28,0
20,0
8,0
10,0
22,0
12,0
10,0
12,0
10,0
2,0
2,0
8,0
22,0
12,0
86,0
22,0
12,0
10,0
110,0
14,0
34,0
16,0
32,0
110,0
12,0
24,0
20,0
56,0
64,0
10,0
14,0
2,0
108,0
4,0
12,0
20,0
20,0
