Dataset,Node,Model,Precision,Recall,F1
yahoo_s5,0,Graph-Real,0.04444444345679015,0.99999950000025,0.085106297872383
yahoo_s5,0,Graph-Random,0.037037036351165994,0.99999950000025,0.07142850000003571
yahoo_s5,1,Graph-Real,0.9999999333333378,0.9374999414062536,0.9677413735694607
yahoo_s5,1,Graph-Random,0.9999999333333378,0.9374999414062536,0.9677413735694607
yahoo_s5,2,Graph-Real,0.9999999285714337,0.9999999285714337,0.9999994285716838
yahoo_s5,2,Graph-Random,0.7368420664819965,0.9999999285714337,0.8484843085402278
yahoo_s5,3,Graph-Real,0.09090908925619838,0.99999980000004,0.16666650833345042
yahoo_s5,3,Graph-Random,0.08771929670667901,0.99999980000004,0.16129016909480684
yahoo_s5,4,Graph-Real,0.0,0.0,0.0
yahoo_s5,4,Graph-Random,0.0,0.0,0.0
yahoo_s5,5,Graph-Real,0.27586205945303244,0.9999998750000157,0.43243207012442775
yahoo_s5,5,Graph-Random,0.333333319444445,0.9999998750000157,0.49999959375026765
yahoo_s5,6,Graph-Real,0.3725490159554018,0.9999999736842113,0.5428567395921221
yahoo_s5,6,Graph-Random,0.36893203525308704,0.9999999736842113,0.5390066908106061
yahoo_s5,7,Graph-Real,0.08235294020761247,0.9999998571428775,0.15217376914000094
yahoo_s5,7,Graph-Random,0.08974358859303092,0.9999998571428775,0.16470572733576253
yahoo_s5,8,Graph-Real,0.399999920000016,0.99999950000025,0.5714280000002858
yahoo_s5,8,Graph-Random,0.11111110493827195,0.99999950000025,0.1999998000001
yahoo_s5,9,Graph-Real,0.2954545387396696,0.9999999230769291,0.4561399827641894
yahoo_s5,9,Graph-Random,0.2954545387396696,0.9999999230769291,0.4561399827641894
yahoo_s5,10,Graph-Real,0.6785714043367356,0.9999999473684238,0.808510122227539
yahoo_s5,10,Graph-Random,0.6785714043367356,0.9999999473684238,0.808510122227539
yahoo_s5,11,Graph-Real,0.1818181652892577,0.99999950000025,0.3076920000001539
yahoo_s5,11,Graph-Random,0.19999998000000202,0.99999950000025,0.3333330000001667
yahoo_s5,12,Graph-Real,0.99999980000004,0.8333331944444675,0.9090902479341832
yahoo_s5,12,Graph-Random,0.99999980000004,0.8333331944444675,0.9090902479341832
yahoo_s5,13,Graph-Real,0.0,0.0,0.0
yahoo_s5,13,Graph-Random,0.0,0.0,0.0
yahoo_s5,14,Graph-Real,0.99999980000004,0.99999980000004,0.99999930000029
yahoo_s5,14,Graph-Random,0.99999980000004,0.99999980000004,0.99999930000029
yahoo_s5,15,Graph-Real,0.13636363016528952,0.9999996666667778,0.23999976960014116
yahoo_s5,15,Graph-Random,0.09677419042663901,0.9999996666667778,0.17647041695512472
yahoo_s5,16,Graph-Real,0.9893616916025352,0.8942307606323966,0.9393934311807567
yahoo_s5,16,Graph-Random,0.9893616916025352,0.8942307606323966,0.9393934311807567
yahoo_s5,17,Graph-Real,0.0,0.0,0.0
yahoo_s5,17,Graph-Random,0.0,0.0,0.0
yahoo_s5,18,Graph-Real,0.810810803506209,0.8653846070636095,0.8372087950679022
yahoo_s5,18,Graph-Random,0.7931034414387634,0.8846153761094676,0.8363631302482313
yahoo_s5,19,Graph-Real,0.09195402193156296,0.8888887901234679,0.166666493272729
yahoo_s5,19,Graph-Random,0.16666666358024698,0.9999998888889013,0.2857140317462257
yahoo_s5,20,Graph-Real,0.27272726033057904,0.9999998333333611,0.42857106122473326
yahoo_s5,20,Graph-Random,0.27272726033057904,0.9999998333333611,0.42857106122473326
yahoo_s5,21,Graph-Real,0.9999999841269844,0.9999999841269844,0.9999994841272344
yahoo_s5,21,Graph-Random,0.9999999841269844,0.9999999841269844,0.9999994841272344
yahoo_s5,22,Graph-Real,0.15384614792899431,0.9999997500000625,0.26666641777794337
yahoo_s5,22,Graph-Random,0.15384614792899431,0.9999997500000625,0.26666641777794337
yahoo_s5,23,Graph-Real,0.41666665509259293,0.9999999333333378,0.5882348558249701
yahoo_s5,23,Graph-Random,0.428571416326531,0.9999999333333378,0.5999995560002886
yahoo_s5,24,Graph-Real,0.5119047558106576,0.9999999767441866,0.6771648957780863
yahoo_s5,24,Graph-Random,0.49425286788215095,0.9999999767441866,0.661538008639348
metrla,0,Graph-Real,0.04926108371687953,0.8910891000882267,0.09336089647065879
metrla,0,Graph-Random,0.05843293488815874,0.8712871200862662,0.10952072836146029
metrla,1,Graph-Real,0.08886389191353893,0.7899999921,0.15975714853704298
metrla,1,Graph-Random,0.11354838695026015,0.8799999912000002,0.20114265423432487
metrla,2,Graph-Real,0.061994609122645136,0.9108910800901874,0.11608820860564069
metrla,2,Graph-Random,0.07027942415725705,0.8217821700813647,0.12948503405260015
metrla,3,Graph-Real,0.043676662292257716,0.6504854305778114,0.0818569375675488
metrla,3,Graph-Random,0.044176706797739815,0.6407766928079933,0.08265485730815993
metrla,4,Graph-Real,0.02443280975891052,0.4242424199571473,0.04620451743134469
metrla,4,Graph-Random,0.02343255223341827,0.3737373699622488,0.04410000810132976
metrla,5,Graph-Real,0.033013205262296993,0.5445544500539163,0.06225229735254484
metrla,5,Graph-Random,0.03244646331444097,0.4950495000490149,0.06090122430185536
metrla,6,Graph-Real,0.054406130226508705,0.6893203816570836,0.10085213698022227
metrla,6,Graph-Random,0.04087385479853851,0.5631067906494487,0.07621537962467329
metrla,7,Graph-Real,0.10091743108978855,0.9899999901000002,0.18316356904276151
metrla,7,Graph-Random,0.1361111109220679,0.9799999902000002,0.23902417550286745
metrla,8,Graph-Real,0.04142441857454621,0.5533980528796306,0.07707897781767571
metrla,8,Graph-Random,0.06621621612673484,0.47572815072108593,0.11625126801596894
metrla,9,Graph-Real,0.046077210432081434,0.7254901889657824,0.08665094145761987
metrla,9,Graph-Random,0.043870192281328005,0.7156862674932719,0.08267259774488421
metrla,10,Graph-Real,0.08627450971933871,0.8712871200862662,0.1570025119411301
metrla,10,Graph-Random,0.07993474707998796,0.9702970200960691,0.147701441657349
metrla,11,Graph-Real,0.0480202189991405,0.6263736194903998,0.08920174552516184
metrla,11,Graph-Random,0.05331179317179984,0.7252747173046734,0.09932267137966302
metrla,12,Graph-Real,0.06289752645731624,0.8640776615138092,0.11725942539083574
metrla,12,Graph-Random,0.06656694086270236,0.8640776615138092,0.12361097811646114
metrla,13,Graph-Real,0.049613402029888266,0.7549019533833142,0.0931075020522565
metrla,13,Graph-Random,0.049235993180964346,0.8529411681084199,0.09309781003062743
metrla,14,Graph-Real,0.07313829777508205,0.5339805773399944,0.1286547585489609
metrla,14,Graph-Random,0.05698005692594486,0.5825242661890848,0.1038060658714108
metrla,15,Graph-Real,0.025386996888305265,0.3980582485625413,0.0477298057365561
metrla,15,Graph-Random,0.03094606540146236,0.3398058219436328,0.05672594090886964
metrla,16,Graph-Real,0.08110516926817721,0.8834951370534453,0.1485712743051981
metrla,16,Graph-Random,0.07914893610285197,0.9029126125930814,0.14553975767732044
metrla,17,Graph-Real,0.051417270895572,0.7647058748558248,0.09635565698573138
metrla,17,Graph-Random,0.0506008854834909,0.7843137178008459,0.09506821638367657
metrla,18,Graph-Real,0.09065934057631928,0.9801980100970494,0.165967992262917
metrla,18,Graph-Random,0.0968054210098689,0.9900990000980298,0.17636668045733328
metrla,19,Graph-Real,0.06552706546483658,0.6969696899295991,0.11979150935440767
metrla,19,Graph-Random,0.04451266305102635,0.5858585799408225,0.08273881299305821
metrla,20,Graph-Real,0.03671189143119562,0.4693877503123699,0.0680975707489111
metrla,20,Graph-Random,0.041221374024823725,0.8265306038109123,0.07852632726799476
metrla,21,Graph-Real,0.08632478625100445,0.990196068723568,0.15880488368007345
metrla,21,Graph-Random,0.07894736835994785,0.9999999901960785,0.14634132757124832
metrla,22,Graph-Real,0.05432595569797052,0.7941176392733565,0.10169479526615227
metrla,22,Graph-Random,0.06088751283706139,0.5784313668781239,0.110177231753972
metrla,23,Graph-Real,0.05792682922414113,0.7524752400745026,0.10757240780174634
metrla,23,Graph-Random,0.054016620461207324,0.7722772200764632,0.10097075145855224
metrla,24,Graph-Real,0.055555555523405346,0.9411764613610151,0.10491792741029914
metrla,24,Graph-Random,0.057051282014710714,0.8725490110534411,0.1070997643236223
