Dataset,Node,Model,Precision,Recall,F1
yahoo_s5,0,ARIMA,0.03571428507653063,0.99999950000025,0.06896544827589657
yahoo_s5,0,Prophet,0.04347825992438566,0.99999950000025,0.08333325000004167
yahoo_s5,1,ARIMA,0.0,0.0,0.0
yahoo_s5,1,Prophet,0.21311475060467622,0.8124999492187531,0.3376619996629873
yahoo_s5,2,ARIMA,0.0,0.0,0.0
yahoo_s5,2,Prophet,0.9999999285714337,0.9999999285714337,0.9999994285716838
yahoo_s5,3,ARIMA,0.10638297645993668,0.99999980000004,0.19230751109480684
yahoo_s5,3,Prophet,0.1612903173777317,0.99999980000004,0.27777752314832604
yahoo_s5,4,ARIMA,0.0,0.0,0.0
yahoo_s5,4,Prophet,0.0,0.0,0.0
yahoo_s5,5,ARIMA,0.0,0.0,0.0
yahoo_s5,5,Prophet,0.46666663555555765,0.8749998906250137,0.6086951455579906
yahoo_s5,6,ARIMA,0.0,0.0,0.0
yahoo_s5,6,Prophet,0.0,0.0,0.0
yahoo_s5,7,ARIMA,0.2592592496570648,0.9999998571428775,0.411764354671521
yahoo_s5,7,Prophet,0.17499999562500013,0.9999998571428775,0.2978720742419337
yahoo_s5,8,ARIMA,0.49999987500003124,0.99999950000025,0.6666660000003334
yahoo_s5,8,Prophet,0.49999987500003124,0.99999950000025,0.6666660000003334
yahoo_s5,9,ARIMA,0.49999998076923147,0.9999999230769291,0.6666661880344805
yahoo_s5,9,Prophet,0.2954545387396696,0.9999999230769291,0.4561399827641894
yahoo_s5,10,ARIMA,0.0,0.0,0.0
yahoo_s5,10,Prophet,0.9999999444444475,0.9473683711911383,0.9729724207453287
yahoo_s5,11,ARIMA,0.08695651795841226,0.99999950000025,0.15999984000008002
yahoo_s5,11,Prophet,0.09523809070294806,0.99999950000025,0.17391286956530436
yahoo_s5,12,ARIMA,0.0,0.0,0.0
yahoo_s5,12,Prophet,0.33333329629630043,0.49999991666668053,0.3999994666672445
yahoo_s5,13,ARIMA,0.0,0.0,0.0
yahoo_s5,13,Prophet,0.0,0.0,0.0
yahoo_s5,14,ARIMA,0.0,0.0,0.0
yahoo_s5,14,Prophet,0.3749999531250059,0.599999880000024,0.46153791716025155
yahoo_s5,15,ARIMA,0.0,0.0,0.0
yahoo_s5,15,Prophet,0.23076921301775286,0.9999996666667778,0.3749996484377046
yahoo_s5,16,ARIMA,0.0,0.0,0.0
yahoo_s5,16,Prophet,0.9999999880952383,0.743362825279975,0.8527913803501993
yahoo_s5,17,ARIMA,0.0,0.0,0.0
yahoo_s5,17,Prophet,0.0,0.0,0.0
yahoo_s5,18,ARIMA,0.0,0.0,0.0
yahoo_s5,18,Prophet,0.9299999907000002,0.8157894665281626,0.869158372521903
yahoo_s5,19,ARIMA,0.0,0.0,0.0
yahoo_s5,19,Prophet,0.07692307100591762,0.11111109876543349,0.09090859917612264
yahoo_s5,20,ARIMA,0.13333333037037046,0.9999998333333611,0.23529390080754242
yahoo_s5,20,Prophet,0.4999999583333368,0.9999998333333611,0.6666661481484404
yahoo_s5,21,ARIMA,0.9843749846191409,0.9999999841269844,0.9921254686591896
yahoo_s5,21,Prophet,0.9999999841269844,0.9999999841269844,0.9999994841272344
